sea_condition,current_suitability,fish_presence_sign,bait_availability,hook_line_condition,time_suitability,fuel_cost,market_demand,outcome_high_risk,outcome_good_performance,reward
92,50,31,92,89,45,53,92,0,1,1
50,70,66,66,36,69,94,39,0,0,1
20,13,21,96,64,79,39,28,0,0,1
41,65,14,52,98,66,74,94,0,0,1
67,64,75,96,57,54,53,90,0,1,1
42,35,38,11,75,63,19,69,0,0,1
26,93,59,49,65,60,98,68,0,0,1
34,71,79,59,57,36,47,83,0,0,1
94,40,97,15,53,98,50,66,0,1,1
67,47,63,11,80,33,20,16,0,0,1
81,86,25,66,60,17,61,49,0,0,1
91,47,67,58,73,61,36,95,0,1,1
59,61,30,96,39,25,51,76,0,0,1
83,21,78,99,39,10,92,61,0,0,1
59,28,31,12,54,47,99,71,0,0,1
33,67,12,54,78,30,55,32,0,0,1
34,38,19,11,26,19,86,61,1,0,-1
87,10,82,31,23,29,41,39,0,0,1
52,95,91,29,13,61,43,21,0,0,1
83,60,54,12,55,73,81,99,0,0,1
29,68,49,78,91,63,55,86,0,0,1
67,79,97,25,52,51,69,57,0,0,1
16,29,32,43,36,56,66,81,1,0,-1
17,67,52,47,93,78,60,70,0,0,1
15,50,66,62,40,30,34,19,0,0,1
85,24,53,23,27,87,61,19,0,0,1
71,19,63,79,52,71,50,43,0,0,1
99,93,72,21,46,64,35,67,0,0,1
94,92,54,93,78,16,67,33,0,1,1
63,90,45,71,75,94,21,56,0,1,1
85,98,59,34,67,37,86,27,0,0,1
22,69,23,62,21,69,38,95,0,0,1
56,49,71,57,63,65,78,39,0,0,1
77,32,87,96,67,97,77,28,0,1,1
34,41,83,91,24,77,77,96,0,0,1
76,61,66,28,25,98,33,82,0,0,1
69,48,31,57,45,41,74,56,0,0,1
19,33,86,59,63,44,72,49,0,0,1
95,67,87,28,91,28,59,91,0,1,1
91,41,48,76,99,11,39,32,0,0,1
41,54,70,64,53,69,35,15,0,0,1
26,17,99,44,18,20,91,38,1,0,-1
43,78,24,60,89,60,95,36,0,0,1
60,42,12,67,91,31,32,78,0,0,1
91,51,18,50,93,72,23,39,0,0,1
93,85,61,96,37,69,69,67,0,1,1
43,77,95,80,86,87,53,55,0,1,1
34,50,25,84,61,55,35,11,0,0,1
27,75,50,64,74,60,49,79,0,0,1
62,69,20,48,88,57,25,77,0,0,1
40,11,79,96,24,84,69,83,0,0,1
84,34,21,69,42,63,52,63,0,0,1
91,73,58,81,14,70,71,22,0,0,1
30,58,18,67,62,87,29,37,0,0,1
50,16,11,43,84,61,44,66,0,0,1
19,72,93,10,13,88,42,22,0,0,1
94,77,98,18,45,38,32,84,0,0,1
70,57,43,51,46,81,70,72,0,0,1
82,10,37,91,17,94,44,62,0,0,1
11,36,38,96,24,16,95,61,1,0,-1
56,86,41,61,81,87,32,94,0,1,1
23,83,74,88,94,62,84,68,0,1,1
21,87,24,95,31,88,96,81,0,0,1
10,70,42,42,83,97,66,26,0,0,1
82,88,47,60,81,24,87,62,0,0,1
82,36,40,58,90,37,75,66,0,0,1
10,55,65,14,72,22,73,81,1,0,-1
47,27,10,82,72,31,72,84,0,0,1
15,55,33,77,94,66,70,73,0,0,1
17,31,25,50,43,53,81,37,1,0,-1
79,32,30,56,82,19,89,86,0,0,1
39,45,82,91,56,18,98,58,0,0,1
96,60,50,22,12,50,28,31,0,0,1
67,34,28,95,38,14,21,59,0,0,1
86,43,64,38,89,20,98,41,0,0,1
94,25,39,14,91,68,45,29,0,0,1
70,93,31,45,31,27,69,85,0,0,1
55,79,69,94,67,67,62,16,0,1,1
75,67,95,43,66,14,41,22,0,0,1
36,99,12,37,79,25,24,30,0,0,1
92,44,54,92,49,10,30,28,0,0,1
12,11,61,53,85,38,22,76,0,0,1
64,54,23,48,64,80,41,70,0,0,1
37,37,29,45,67,40,91,43,0,0,1
64,10,25,22,50,80,78,48,0,0,1
70,17,68,99,81,23,27,79,0,0,1
30,48,63,12,79,82,53,16,0,0,1
65,71,22,79,32,72,11,76,0,0,1
86,38,67,40,95,25,40,83,0,0,1
80,64,72,68,45,41,28,29,0,0,1
13,17,42,51,17,61,15,46,0,0,1
47,64,16,21,62,16,81,23,0,0,1
34,20,30,39,14,92,19,88,0,0,1
29,43,14,19,45,17,60,14,1,0,-1
83,39,33,91,23,29,46,74,0,0,1
13,11,26,34,32,51,94,58,1,0,-1
81,24,75,80,91,12,70,56,0,0,1
78,94,72,37,54,41,97,24,0,0,1
84,52,71,68,59,33,58,18,0,0,1
73,89,75,30,96,65,31,49,0,1,1
78,62,42,54,86,23,54,13,0,0,1
70,21,50,87,50,11,37,85,0,0,1
79,75,47,93,59,38,31,28,0,0,1
72,30,20,80,37,96,68,63,0,0,1
34,69,51,49,95,10,49,67,0,0,1
46,23,89,32,75,55,33,38,0,0,1
89,88,22,32,98,66,50,90,0,0,1
13,19,50,19,14,96,27,62,0,0,1
60,77,74,95,59,38,55,89,0,1,1
32,34,56,13,71,71,95,78,0,0,1
29,29,13,25,66,61,14,55,0,0,1
24,39,86,72,12,40,62,71,0,0,1
22,30,31,96,20,52,97,61,0,0,1
64,93,25,52,15,17,72,79,0,0,1
61,78,37,84,10,75,33,19,0,0,1
88,69,11,30,75,16,12,20,0,0,1
59,10,61,80,30,57,29,78,0,0,1
18,85,25,49,37,77,72,73,0,0,1
43,12,87,72,16,86,72,95,0,0,1
92,70,54,88,52,76,17,88,0,1,1
73,43,38,81,86,12,71,54,0,0,1
21,39,39,51,11,57,43,37,0,0,1
90,64,13,60,81,23,62,35,0,0,1
83,74,21,97,68,91,52,46,0,1,1
32,19,81,73,80,39,97,85,0,0,1
50,68,96,62,83,56,82,10,0,0,1
71,67,59,60,13,19,53,15,0,0,1
28,89,38,66,97,49,92,43,0,0,1
73,10,69,77,27,79,68,83,0,0,1
60,91,27,23,26,65,60,74,0,0,1
62,89,17,57,17,20,39,25,0,0,1
18,63,75,86,11,97,41,78,0,0,1
85,50,25,26,71,99,72,32,0,0,1
87,64,82,82,75,87,71,81,0,1,1
45,60,67,89,70,55,14,99,0,1,1
39,20,84,96,93,70,83,39,0,1,1
50,66,97,17,64,45,75,74,0,0,1
58,70,90,14,29,15,34,53,0,0,1
50,91,62,88,48,98,85,40,0,1,1
25,27,67,71,27,64,68,71,0,0,1
64,43,26,32,76,47,38,10,0,0,1
15,88,33,21,44,95,58,93,0,0,1
25,86,21,77,89,26,27,70,0,0,1
25,63,25,12,36,45,96,89,1,0,-1
22,50,47,84,24,22,75,39,0,0,1
92,30,25,19,72,79,46,11,0,0,1
51,35,89,63,85,42,22,86,0,1,1
33,14,31,87,57,15,97,33,1,0,-1
28,24,74,94,19,50,22,23,0,0,1
18,98,92,16,10,56,90,74,1,0,-1
44,66,37,37,40,89,62,49,0,0,1
68,20,98,61,60,81,26,74,0,1,1
31,70,36,64,89,71,42,53,0,0,1
88,28,46,68,52,58,97,24,0,0,1
55,68,74,52,30,73,48,38,0,0,1
99,58,63,39,45,37,19,98,0,0,1
60,74,70,42,70,18,34,83,0,0,1
26,86,92,82,90,42,94,54,0,1,1
71,74,73,81,47,35,65,47,0,0,1
29,65,13,73,93,54,17,62,0,0,1
93,67,12,85,66,45,21,30,0,0,1
83,63,75,29,10,30,59,13,0,0,1
33,84,80,82,39,72,72,54,0,0,1
71,77,24,75,64,30,21,26,0,0,1
45,66,53,73,12,45,35,31,0,0,1
79,72,25,46,48,80,69,88,0,0,1
83,63,82,52,54,70,18,94,0,1,1
